Wall time,Step,Value
1653668666.8537314,57600,6545.591796875
1653669016.6774461,57700,6256.1337890625
1653669374.982105,57800,6616.41259765625
1653669738.1114776,57900,6408.3564453125
1653670096.7415512,58000,6558.76171875
1653670452.6715076,58100,6436.42724609375
1653670791.2022274,58200,6894.009765625
1653671224.595527,58300,6361.4580078125
1653671714.9978533,58400,6176.4287109375
1653672221.0901496,58500,6510.62109375
1653672708.5605469,58600,6378.8916015625
1653673193.8625438,58700,6061.3984375
1653673674.8441157,58800,6192.845703125
1653674193.5204518,58900,6435.3935546875
1653674630.2171543,59000,6234.4833984375
1653674989.4222696,59100,6569.8837890625
1653675336.588681,59200,6447.37744140625
1653675688.0503836,59300,6357.6279296875
1653676174.5077941,59400,6335.767578125
1653676666.2519803,59500,6803.19189453125
1653677155.324553,59600,6557.2177734375
1653677636.375512,59700,6561.7333984375
1653678127.0239253,59800,6085.751953125
1653678620.0642455,59900,6314.125
1653679128.798704,60000,6847.38134765625
1653679608.973166,60100,6740.458984375
1653680089.798321,60200,6482.6689453125
1653680581.9158745,60300,6829.8310546875
1653681061.160472,60400,6616.814453125
1653681547.8588197,60500,6567.45703125
1653682043.9898582,60600,6492.3505859375
1653682534.664204,60700,6544.912109375
1653683029.0525799,60800,6581.00341796875
1653683511.6317556,60900,6805.158203125
1653683991.9934933,61000,6870.474609375
1653684496.583005,61100,6435.28125
1653684977.9819798,61200,6589.2470703125
1653685461.022676,61300,6508.43017578125
1653685936.2872555,61400,6581.33203125
1653686418.471183,61500,6711.6796875
1653686897.5204744,61600,6308.6376953125
1653687386.1353076,61700,6175.197265625
1653687885.330917,61800,6785.67529296875
1653688366.0095458,61900,6371.68798828125
1653688861.0242317,62000,6735.74609375
1653689349.719594,62100,6301.314453125
1653689839.5318024,62200,6482.27197265625
1653690339.4123354,62300,6605.4609375
1653690802.1496391,62400,6697.26318359375
1653691288.5982928,62500,6267.49462890625
1653691778.3144507,62600,6617.9287109375
1653692273.4822514,62700,6640.771484375
1653692754.9545825,62800,6787.8876953125
1653693240.9818692,62900,6945.9873046875
1653693718.0420315,63000,6711.990234375
1653694229.4010546,63100,6265.85498046875
1653694717.3830962,63200,6199.0078125
1653695186.9926703,63300,6259.091796875
1653695680.3094022,63400,6761.2294921875
1653696162.3095508,63500,6055.5205078125
1653696640.8700638,63600,6444.3388671875
1653697124.0711567,63700,6151.50390625
1653697599.15774,63800,6240.2294921875
1653698063.0275025,63900,7000.29541015625
1653698557.1586254,64000,6112.806640625
1653699028.8652084,64100,6904.6015625
1653699529.2645178,64200,5977.67529296875
1653700023.5777283,64300,5772.34765625
1653700505.640679,64400,6443.81494140625
1653700989.1569595,64500,6238.458984375
1653701486.7005966,64600,6504.44384765625
1653701985.3661482,64700,6356.35546875
1653702473.5274115,64800,6049.529296875
1653702957.56548,64900,6686.896484375
1653703450.6484942,65000,6349.14404296875
1653703940.767697,65100,6535.857421875
1653704423.4698226,65200,6464.27587890625
1653704903.6289847,65300,6171.75048828125
1653705393.8145285,65400,6437.5322265625
1653705892.711083,65500,6388.912109375
1653706362.5159805,65600,6187.39111328125
1653706840.265477,65700,6692.60595703125
1653707332.0103219,65800,6577.2001953125
1653707826.1125677,65900,6656.05419921875
1653708309.8252847,66000,6470.46533203125
1653708808.0878677,66100,6590.0029296875
1653709291.020381,66200,6804.54736328125
1653709775.679973,66300,6566.587890625
1653710257.7562242,66400,6246.5615234375
1653710738.172315,66500,6493.412109375
1653711231.2729044,66600,6201.03662109375
1653711727.3345914,66700,6532.2216796875
1653712221.9826794,66800,6309.123046875
1653712707.1274538,66900,6238.8330078125
1653713193.1759624,67000,6406.5791015625
1653713661.4935274,67100,6803.59765625
1653714136.6910818,67200,6435.3076171875
1653714620.559506,67300,6306.9560546875
1653715092.5420184,67400,6370.4296875
1653715578.895722,67500,6619.5029296875
1653716062.4756434,67600,6377.68701171875
1653716560.3919418,67700,6421.376953125
1653717040.7908509,67800,5617.7158203125
1653717539.055869,67900,6287.1005859375
1653718026.5213149,68000,6454.68212890625
1653718515.6863575,68100,6193.4912109375
1653719018.487255,68200,6523.94482421875
1653719512.7096522,68300,6434.2392578125
1653719995.6701276,68400,6801.18505859375
1653720493.3496494,68500,6356.19091796875
1653720963.4992354,68600,6334.66748046875
1653721322.462319,68700,6682.3095703125
1653721725.2735872,68800,6407.20166015625
1653722192.4190893,68900,6399.7275390625
1653722660.9341145,69000,6460.8076171875
1653723010.2772229,69100,6081.9091796875
1653723424.485224,69200,6264.60986328125
1653723906.9719517,69300,6517.11328125
1653724377.95262,69400,6597.408203125
1653724860.0339422,69500,6136.89990234375
1653725345.6758747,69600,5910.41357421875
1653725857.5714664,69700,6144.5234375
1653726346.943478,69800,6348.93896484375
1653726838.6070724,69900,6220.10498046875
1653727324.5348403,70000,5828.6591796875
1653727811.2193334,70100,6721.77392578125
1653728293.0347378,70200,6169.662109375
1653728773.3548608,70300,6062.005859375
1653729265.3832028,70400,6337.9951171875
1653729753.6798644,70500,6232.173828125
1653730222.0286653,70600,7124.130859375
1653730711.3742747,70700,6200.55712890625
1653731203.2534912,70800,6641.64404296875
1653731697.1921573,70900,5957.154296875
1653732057.3194165,71000,5764.3134765625
1653732418.129206,71100,6403.419921875
1653732798.967455,71200,6296.9130859375
1653733258.2233014,71300,5907.7734375
1653733608.1014116,71400,6769.810546875
1653733970.475053,71500,6651.880859375
1653734320.3514867,71600,6266.9384765625
1653734684.2125587,71700,6514.5634765625
1653735042.7361732,71800,6280.57080078125
1653735400.9869943,71900,6166.90234375
